,Links,Name,Rating,Cuisines,Reviews,Avg waiting time,Cost / Person
104,https://www.zomato.com/nagpur/sandwich-story-gandhibagh/order,Sandwich Story,3.1,"['Beverages', ' Fast Food']",105,35,100
105,https://www.zomato.com/nagpur/ghar-se-ghar-tak-gandhibagh/order,Ghar Se Ghar Tak,,['North Indian'],Not,28,200
106,https://www.zomato.com/nagpur/sandwich-saga-sadar/order,Sandwich Saga,3.7,"['Sandwich', ' Beverages']",11,29,100
107,https://www.zomato.com/nagpur/smokin-grills-bajaj-nagar/order,Smokin Grills,3.7,"['Pizza', ' Fast Food']",7235,37,250
108,https://www.zomato.com/nagpur/payal-bar-restaurant-wardhaman-nagar/order,Payal Bar & Restaurant,3.5,"['North Indian', ' Chinese']",Not,34,200
109,https://www.zomato.com/nagpur/maa-vaishnodevi-bhojanalaya-sitabuldi/order,Maa Vaishnodevi Bhojanalaya,3.2,"['North Indian', ' Chinese']",1233,33,100
110,https://www.zomato.com/nagpur/super-deluxe-chaat-house-gandhibagh/order,Super Deluxe Chaat House,4.0,['North Indian'],Not,24,200
111,https://www.zomato.com/nagpur/ice-lounge-hotel-hardeo-sitabuldi/order,Ice Lounge - Hotel Hardeo,3.8,"['North Indian', ' Continental']",1684,23,400
112,https://www.zomato.com/nagpur/sandwich-window-hingna-t-point/order,Sandwich Window,3.8,"['Sandwich', ' Burger', ' Fast Food', ' Beverages', ' Pizza']",1043,49,100
113,https://www.zomato.com/nagpur/ya-taj-hotel-ayodhya-nagar/order,Ya Taj Hotel,3.8,"['North Indian', ' Biryani']",3229,20,150
114,https://www.zomato.com/nagpur/lucky-cream-point-1-pachpaoli/order,Lucky Cream Point,3.6,"['Bakery', ' Desserts']",508,29,200
115,https://www.zomato.com/nagpur/shashis-barbeque-kitchen-gittikhadan/order,Shashi's Barbeque Kitchen,4.0,['Momos'],2375,51,100
116,https://www.zomato.com/nagpur/metro-chai-paratha-cafe-1-gayatri-nagar/order,Metro Chai Paratha Cafe,3.9,"['Sandwich', ' Fast Food']",83,47,100
117,https://www.zomato.com/nagpur/ashok-snacks-point-1-dharampeth/order,Ashok Snacks Point,3.7,"['South Indian', ' Fast Food']",Not,41,50
118,https://www.zomato.com/nagpur/chai-kaapi-gittikhadan/order,Chai Kaapi,4.0,"['Cafe', ' Chinese', ' Fast Food', ' Beverages', ' Street Food', ' Biryani', ' Desserts']",536,45,150
119,https://www.zomato.com/nagpur/shivraj-the-thali-restaurant-gandhibagh/order,Shivraj The Thali Restaurant,3.8,"['North Indian', ' South Indian', ' Chinese', ' Beverages']",51,32,250
120,https://www.zomato.com/nagpur/lush-house-bajaj-nagar/order,Lush House,3.8,"['Continental', ' North Indian', ' Italian', ' Beverages', ' Desserts']",1398,50,250
121,https://www.zomato.com/nagpur/the-bread-box-pratap-nagar/order,The Bread Box,3.7,"['Fast Food', ' Street Food', ' Beverages']",1207,46,100
122,https://www.zomato.com/nagpur/jds-kitchen-ramdaspeth/order,JD'S Kitchen,3.9,"['North Indian', ' Biryani', ' Chinese']",2553,33,200
123,https://www.zomato.com/nagpur/smokin-grills-bajaj-nagar/order,Smokin Grills,3.7,"['Pizza', ' Fast Food']",7235,37,250
124,https://www.zomato.com/nagpur/payal-bar-restaurant-wardhaman-nagar/order,Payal Bar & Restaurant,3.5,"['North Indian', ' Chinese']",Not,34,200
125,https://www.zomato.com/nagpur/maa-vaishnodevi-bhojanalaya-sitabuldi/order,Maa Vaishnodevi Bhojanalaya,3.2,"['North Indian', ' Chinese']",1233,33,100
126,https://www.zomato.com/nagpur/super-deluxe-chaat-house-gandhibagh/order,Super Deluxe Chaat House,4.0,['North Indian'],Not,24,200
127,https://www.zomato.com/nagpur/ice-lounge-hotel-hardeo-sitabuldi/order,Ice Lounge - Hotel Hardeo,3.8,"['North Indian', ' Continental']",1684,23,400
128,https://www.zomato.com/nagpur/sandwich-window-hingna-t-point/order,Sandwich Window,3.8,"['Sandwich', ' Burger', ' Fast Food', ' Beverages', ' Pizza']",1043,49,100
129,https://www.zomato.com/nagpur/ya-taj-hotel-ayodhya-nagar/order,Ya Taj Hotel,3.8,"['North Indian', ' Biryani']",3229,20,150
130,https://www.zomato.com/nagpur/lucky-cream-point-1-pachpaoli/order,Lucky Cream Point,3.6,"['Bakery', ' Desserts']",508,29,200
131,https://www.zomato.com/nagpur/shashis-barbeque-kitchen-gittikhadan/order,Shashi's Barbeque Kitchen,4.0,['Momos'],2375,51,100
132,https://www.zomato.com/nagpur/metro-chai-paratha-cafe-1-gayatri-nagar/order,Metro Chai Paratha Cafe,3.9,"['Sandwich', ' Fast Food']",83,47,100
133,https://www.zomato.com/nagpur/ashok-snacks-point-1-dharampeth/order,Ashok Snacks Point,3.7,"['South Indian', ' Fast Food']",Not,41,50
134,https://www.zomato.com/nagpur/chai-kaapi-gittikhadan/order,Chai Kaapi,4.0,"['Cafe', ' Chinese', ' Fast Food', ' Beverages', ' Street Food', ' Biryani', ' Desserts']",536,45,150
135,https://www.zomato.com/nagpur/shivraj-the-thali-restaurant-gandhibagh/order,Shivraj The Thali Restaurant,3.8,"['North Indian', ' South Indian', ' Chinese', ' Beverages']",51,32,250
136,https://www.zomato.com/nagpur/lush-house-bajaj-nagar/order,Lush House,3.8,"['Continental', ' North Indian', ' Italian', ' Beverages', ' Desserts']",1398,50,250
137,https://www.zomato.com/nagpur/the-bread-box-pratap-nagar/order,The Bread Box,3.7,"['Fast Food', ' Street Food', ' Beverages']",1207,46,100
138,https://www.zomato.com/nagpur/jds-kitchen-ramdaspeth/order,JD'S Kitchen,3.9,"['North Indian', ' Biryani', ' Chinese']",2553,33,200
139,https://www.zomato.com/nagpur/sams-family-home-kitchen-7-manish-nagar/order,Sam's Family Home Kitchen,4.0,"['Street Food', ' Beverages']",1449,52,50
140,https://www.zomato.com/nagpur/reddys-gokul-dairy-and-agro-farms-dharampeth/order,Reddy's Gokul Dairy And Agro Farms,4.4,['Mithai'],1358,27,50
